"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000310526.1",57.2181563246712,0.00682733830992078,0.264790006468104,0.0257839727449955,0.979429645496563,0.990125737373052
"ENSG00000243485.6",2.0459551053228,1.55785361225633,1.28017594105679,1.21690586605644,0.223640033485169,NA
"ENSG00000269981.1",2.10210700259483,0.366826827582992,1.32595684385719,0.276650653663733,0.782048366051409,NA
"ENSG00000310527.1",57.2103239395375,0.0210629830764856,0.267526850367214,0.0787322208876381,0.937245616457602,0.9714005876761
"ENSG00000292994.2",9.42384090334173,0.603689533484018,0.649703034534758,0.929177641776463,0.35279703239581,0.583129117289907
"ENSG00000286448.2",1.31633476751197,-2.73063329609152,1.83928675021833,-1.48461532480858,0.137645753574032,NA
"ENSG00000290385.2",20.9946443700347,0.167038727819963,0.456931959497506,0.365565866751052,0.714689049024137,0.855850584876711
"ENSG00000225880.7",174.58127679641,0.501565187741149,0.169452126444458,2.95992265346726,0.00307716287878218,0.0209943780190512
"ENSG00000225972.1",21.3293828962943,0.335636795267444,0.396627423926568,0.846226899654784,0.397426178446282,0.623942216213631
"ENSG00000225630.1",161.45597233579,0.118332722791079,0.213612884729266,0.553958732129171,0.579607088754097,0.768972739075268
"ENSG00000237973.1",483.963663150355,0.10255829881537,0.149133907364779,0.687692695964266,0.491646320543331,0.704218765685131
"ENSG00000229344.1",56.4918030457835,0.070612333035987,0.261426024037412,0.270104452286211,0.787079896948401,0.894829164848587
"ENSG00000248527.1",3293.2285646505,-0.0216778221038503,0.21632405982243,-0.10020994484684,0.92017765091323,0.963278821474889
"ENSG00000198744.5",65.7563055421772,-0.352140855167702,0.255791678667551,-1.37667048827407,0.168614146923424,0.37257040125432
"ENSG00000229376.3",5.2798014364609,1.68352332835609,0.843353033486653,1.9962260897977,0.0459093188405716,NA
"ENSG00000237491.11",32.4384703164424,0.368744384889735,0.329342159039465,1.1196391800102,0.262867552369506,0.490648515887806
"ENSG00000177757.3",2.5575481296367,-0.724968241718186,1.33898470505291,-0.541431309097393,0.588210331846523,NA
"ENSG00000228794.13",651.170280722972,0.382808496316483,0.107065693520422,3.57545431902017,0.000349620221822488,0.00360672447978337
"ENSG00000297178.1",2.77577283624276,0.299370878921562,1.19458702470607,0.250606169939961,0.802118611002295,NA
"ENSG00000230368.3",1.71027462506413,1.98724670800548,1.72924682638424,1.14919783438938,0.250474413662009,NA
"ENSG00000272438.2",264.104956954642,0.93765364544999,0.145352300147762,6.45090338781561,1.11185366124494e-10,4.94956159742246e-09
"ENSG00000298603.1",5.02786035521416,0.70505460504465,0.833575670516068,0.845819557819088,0.397653413217549,NA
"ENSG00000223764.3",19.8541997324658,-0.0925675855085172,0.415224016247553,-0.222934083498025,0.823586809045987,0.91572977174349
"ENSG00000187634.13",12.6721229015535,-0.758304833664051,0.584753667746519,-1.29679363378147,0.194702201741427,0.40871494988827
"ENSG00000188976.11",3841.70179444758,0.059965287042643,0.0966093654553735,0.620698487770759,0.53479802459358,0.736533101209923
"ENSG00000187961.15",1299.45191788953,0.273651979002283,0.120731401279746,2.26661809687943,0.0234135656103141,0.0982230555257786
"ENSG00000187583.11",5.58816342538714,0.621399031534158,0.78730578787454,0.789272784608539,0.429952589593771,NA
"ENSG00000272512.1",8.20543407824594,-1.13318013413625,0.644297519936191,-1.75878394541776,0.0786142126915702,NA
"ENSG00000188290.11",110.686414048508,-1.0211485022244,0.226146653097938,-4.5154261106052,6.31895768874651e-06,0.000110713545301653
