"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000310526.1",57.2181563246712,0.132466901170225,0.267170852725731,0.495813446035639,0.620026037325726,0.854245720619019
"ENSG00000243485.6",2.0459551053228,1.08026903353439,1.57433159177716,0.686176304392743,0.492601938224911,NA
"ENSG00000269981.1",2.10210700259483,-0.176173258820694,1.3417332799224,-0.131302742100041,0.89553582269082,NA
"ENSG00000310527.1",57.2103239395375,0.212814595716629,0.271341387173965,0.784305696720665,0.432860757598926,0.744082495887793
"ENSG00000292994.2",9.42384090334173,-0.703144612119208,0.647020004278553,-1.08674323431968,0.277150301156297,0.626578454536761
"ENSG00000286448.2",1.31633476751197,0.76007057818755,1.5797803606159,0.481124210134644,0.630428222301316,NA
"ENSG00000290385.2",20.9946443700347,0.25485072258842,0.467336125875095,0.545326390317479,0.585529056796812,0.836232465848258
"ENSG00000225880.7",174.58127679641,0.298127913466735,0.175724283656161,1.69656638948139,0.089778668692805,0.37096321405228
"ENSG00000225972.1",21.3293828962943,-0.339443603294134,0.396916983655138,-0.855200501042456,0.392440158884895,0.71727643132526
"ENSG00000225630.1",161.45597233579,0.00849631998641965,0.21457785681227,0.0395955114504332,0.968415605978158,0.990798294916786
"ENSG00000237973.1",483.963663150355,0.163611347171265,0.150056960432892,1.09032827733729,0.275568563264883,0.625720989026897
"ENSG00000229344.1",56.4918030457835,-0.237270904304373,0.259181059991087,-0.915463901230022,0.359948145076202,0.69332267641985
"ENSG00000248527.1",3293.2285646505,-0.0279919567673924,0.216316207140596,-0.129402956613412,0.897038808313361,0.967965094626915
"ENSG00000198744.5",65.7563055421772,0.0707943401675327,0.252005479637502,0.280923812725688,0.778768835899313,0.925199619901137
"ENSG00000229376.3",5.2798014364609,-0.433941447624437,0.900869905690339,-0.481691579309564,0.630025058856291,NA
"ENSG00000237491.11",32.4384703164424,0.282726753400733,0.343422361229671,0.823262505063416,0.410358730927662,0.730572816454016
"ENSG00000177757.3",2.5575481296367,-1.07265942993322,1.19270762938526,-0.899348175114873,0.368467234411579,NA
